a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
-0.637553338,-0.258359993,0.659095883,0.238075733,-0.000770546,0.000460468,0.000422801,-0.000326882,-1.73354E-06,1.12167E-06,4.80788E-07,-5.95487E-07
-0.568542073,-0.015948846,0.507434282,0.896251169,-0.000794443,0.0004524,0.000441392,-0.000306204,-1.75704E-06,1.13521E-06,4.9563E-07,-6.053E-07
-0.343053076,0.08748394,0.839844911,1.183333752,-0.000812573,0.000451022,0.000463397,-0.000267379,-1.78125E-06,1.14852E-06,5.11198E-07,-6.13927E-07
-0.172314508,0.29060151,0.902388862,1.044893491,-0.000822996,0.000455554,0.000492934,-0.000225825,-1.80591E-06,1.16182E-06,5.27701E-07,-6.2097E-07
0.732773271,-0.327033076,0.862767718,0.424277599,-0.000812641,0.000452078,0.000522804,-0.000199045,-1.83047E-06,1.17509E-06,5.45287E-07,-6.26666E-07
1.066029454,-0.329632497,0.211831816,0.82136006,-0.00077845,0.000436657,0.000539254,-0.000176668,-1.85407E-06,1.18795E-06,5.63698E-07,-6.31391E-07
-0.634253772,-0.038436862,-0.052169496,1.502732362,-0.000770721,0.000426849,0.000538009,-0.000133583,-1.87677E-06,1.20026E-06,5.82334E-07,-6.34831E-07
-0.037032295,-0.17874516,0.359483422,-0.113467919,-0.000784274,0.000419981,0.000539609,-0.000108667,-1.89948E-06,1.2122E-06,6.00906E-07,-6.36945E-07
0.516064476,-0.484146934,0.514137557,-0.631094288,-0.000775602,0.000404544,0.000552115,-0.000124965,-1.92219E-06,1.22365E-06,6.19679E-07,-6.3888E-07
-0.595274151,-0.894492786,-0.130334473,-0.48490274,-0.000777715,0.000375364,0.000555132,-0.000148363,-1.94469E-06,1.2342E-06,6.38681E-07,-6.41569E-07
0.202046441,-1.439645834,-0.160738614,-1.028974675,-0.000785867,0.000327869,0.000545127,-0.000179345,-1.96728E-06,1.24322E-06,6.57476E-07,-6.45291E-07
-0.33975351,-1.184842097,-0.002194185,-1.138860564,-0.000789059,0.000274943,0.000537622,-0.00022282,-1.99E-06,1.25027E-06,6.75861E-07,-6.50431E-07
-1.435265404,-0.277704523,0.247682368,-0.086566394,-0.00082379,0.000244598,0.000538013,-0.000247976,-2.01336E-06,1.25567E-06,6.9404E-07,-6.5687E-07
-0.650751603,-0.249473599,-0.634696081,-0.225633597,-0.000864387,0.000232386,0.000526207,-0.00025544,-2.03807E-06,1.26023E-06,7.11929E-07,-6.6391E-07
-0.223206122,-0.047323256,-0.750926085,-0.680337756,-0.000881472,0.000224656,0.000495193,-0.00027432,-2.06379E-06,1.26438E-06,7.28924E-07,-6.71428E-07
0.316860159,-0.357742518,-0.427732459,-0.706498349,-0.000879842,0.000214865,0.000468274,-0.000302398,-2.0897E-06,1.26816E-06,7.44737E-07,-6.7982E-07
1.23212626,-0.464983758,0.228171049,-0.387783677,-0.000850161,0.000197057,0.000460317,-0.000324737,-2.1149E-06,1.2714E-06,7.59816E-07,-6.89148E-07
0.49755335,0.233111984,-0.291512331,-0.733171895,-0.000817096,0.000190699,0.000455011,-0.000347508,-2.13879E-06,1.27414E-06,7.7458E-07,-6.99308E-07
0.785174856,0.577746884,-0.448021837,-1.948813034,-0.000792758,0.000204459,0.000436687,-0.000400281,-2.16146E-06,1.27701E-06,7.88831E-07,-7.10883E-07
0.587592359,0.332494509,-0.557548566,-1.823196593,-0.000766764,0.000220084,0.000413298,-0.000473874,-2.18308E-06,1.28042E-06,8.02222E-07,-7.24846E-07
0.140640955,0.541536341,-0.817180778,-1.846165479,-0.000753279,0.000234954,0.000382874,-0.000545224,-2.20384E-06,1.28441E-06,8.14522E-07,-7.41549E-07
1.780804967,0.290903768,-1.146060218,-2.364247806,-0.000716838,0.000248968,0.000341212,-0.000626744,-2.22354E-06,1.28892E-06,8.25383E-07,-7.61133E-07
1.253265853,0.366166082,-1.485473375,-1.682533536,-0.000659078,0.00025955,0.000286814,-0.000704818,-2.24135E-06,1.29388E-06,8.34348E-07,-7.83718E-07
-0.586773574,0.649140291,-0.732851182,-1.328710094,-0.000647149,0.000276998,0.000240572,-0.000762651,-2.25773E-06,1.29936E-06,8.41335E-07,-8.08836E-07
0.410646133,0.462707379,-0.346634799,-2.137408679,-0.000651497,0.000296242,0.000216441,-0.00082904,-2.27389E-06,1.30551E-06,8.46935E-07,-8.36254E-07
0.510416066,0.275609499,-0.563234379,-1.226917461,-0.000634679,0.000308217,0.000195663,-0.000893226,-2.28974E-06,1.31224E-06,8.51644E-07,-8.66085E-07
0.268205539,0.011314852,-1.005530841,-0.333638659,-0.000620661,0.000311447,0.000162258,-0.000922414,-2.30492E-06,1.31922E-06,8.55285E-07,-8.97603E-07
1.063456911,0.007627301,-0.185756195,-0.598949245,-0.000596029,0.000309499,0.000136245,-0.000939387,-2.31928E-06,1.3262E-06,8.57761E-07,-9.29893E-07
0.526019099,-0.046295578,-0.152658773,0.020640741,-0.00056651,0.000306444,0.000126762,-0.000949466,-2.33253E-06,1.33304E-06,8.59539E-07,-9.62583E-07
0.623328339,-0.336886696,0.026534137,0.118614726,-0.000545576,0.000296758,0.000121402,-0.000945672,-2.34475E-06,1.3396E-06,8.61017E-07,-9.95271E-07
0.153447746,-0.437055093,-0.16397055,0.711645156,-0.000531891,0.000279574,0.000115843,-0.000928566,-2.35623E-06,1.34561E-06,8.62274E-07,-1.02743E-06
-0.256872881,-0.248022759,-0.103461522,1.609540534,-0.000535216,0.00026416,0.000107797,-0.000882779,-2.36746E-06,1.35097E-06,8.63258E-07,-1.05826E-06
