a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
-0.375433564,0.343738517,1.039566601,1.204991759,0.000994052,0.004429462,0.013023165,0.001818137,4.10219E-06,2.75329E-05,7.99968E-05,7.92476E-06
-0.345737469,0.338116513,0.884553362,2.098783514,0.000972321,0.004417301,0.012985878,0.001870886,4.12022E-06,2.75733E-05,8.01139E-05,7.95664E-06
0.121682431,0.423957867,1.275138844,0.932328849,0.000960241,0.004406695,0.012953168,0.001918179,4.13749E-06,2.76128E-05,8.02286E-05,7.99028E-06
-0.766683817,0.776935095,1.134190513,0.734158085,0.000940084,0.004404552,0.012925288,0.001938989,4.15405E-06,2.76518E-05,8.03412E-05,8.02505E-06
-0.369058131,0.521405939,0.68465212,0.921100882,0.000910533,0.004404262,0.012886029,0.001959495,4.16957E-06,2.76904E-05,8.04514E-05,8.06044E-06
-0.189036038,1.09291591,0.540651404,1.103712079,0.000892213,0.00441003,0.012835374,0.001987035,4.18407E-06,2.77287E-05,8.0559E-05,8.09656E-06
-0.615127473,1.357875525,0.723495205,0.853106139,0.000869209,0.004431866,0.012785552,0.002013153,4.1977E-06,2.77673E-05,8.06636E-05,8.13353E-06
0.226261901,1.237516275,0.946498807,0.514101334,0.000854284,0.004456379,0.012743633,0.0020278,4.21052E-06,2.78064E-05,8.07655E-05,8.1711E-06
0.005358742,1.318461044,1.036514217,0.429578111,0.000851364,0.004480012,0.0127078,0.002034217,4.22291E-06,2.7846E-05,8.08649E-05,8.20887E-06
0.094502953,1.353523005,0.998329489,0.571381063,0.00084591,0.004505763,0.012672999,0.002041699,4.23507E-06,2.78863E-05,8.09621E-05,8.24672E-06
0.591786723,1.116068894,0.852652954,0.520313762,0.00085177,0.004527489,0.012634683,0.002050889,4.24717E-06,2.79272E-05,8.10568E-05,8.2847E-06
0.487654652,1.359689075,0.793939446,0.721334265,0.000865181,0.004549223,0.012592469,0.002062921,4.25956E-06,2.79685E-05,8.11491E-05,8.32289E-06
0.788698121,1.238906663,1.194759392,0.438925251,0.000882333,0.004573214,0.012556904,0.002073327,4.27246E-06,2.80103E-05,8.12389E-05,8.36131E-06
0.023198769,1.3332717,0.896762899,0.378339826,0.000890466,0.004596576,0.012523353,0.00207707,4.28577E-06,2.80528E-05,8.13265E-05,8.39981E-06
